Local Time,Total vehicles,No. Motorcycles,No. Cars
Wed Jul 28 12:48:16 2021,0,0,0
Wed Jul 28 12:48:16 2021,0,0,0
Wed Jul 28 12:48:16 2021,0,0,0
Wed Jul 28 12:48:16 2021,0,0,0
Wed Jul 28 12:48:16 2021,1,1,0
Wed Jul 28 12:48:17 2021,1,1,0
Wed Jul 28 12:48:17 2021,0,0,0
Wed Jul 28 12:48:17 2021,0,0,0
Wed Jul 28 12:48:17 2021,2,1,1
Wed Jul 28 12:48:17 2021,2,1,1
Wed Jul 28 12:48:17 2021,3,2,1
Wed Jul 28 12:48:17 2021,1,0,1
Wed Jul 28 12:48:17 2021,3,2,1
Wed Jul 28 12:48:17 2021,3,2,1
Wed Jul 28 12:48:17 2021,3,2,1
Wed Jul 28 12:48:17 2021,2,1,1
Wed Jul 28 12:48:17 2021,2,1,1
Wed Jul 28 12:48:17 2021,2,1,1
Wed Jul 28 12:48:17 2021,2,1,1
Wed Jul 28 12:48:17 2021,2,1,1
Wed Jul 28 12:48:17 2021,2,1,1
Wed Jul 28 12:48:17 2021,1,0,1
Wed Jul 28 12:48:17 2021,2,1,1
Wed Jul 28 12:48:17 2021,2,1,1
Wed Jul 28 12:48:17 2021,2,1,1
Wed Jul 28 12:48:17 2021,2,1,1
Wed Jul 28 12:48:18 2021,2,1,1
Wed Jul 28 12:48:18 2021,4,2,2
Wed Jul 28 12:48:18 2021,3,2,1
Wed Jul 28 12:48:18 2021,3,2,1
Wed Jul 28 12:48:18 2021,3,2,1
Wed Jul 28 12:48:18 2021,2,1,1
Wed Jul 28 12:48:18 2021,2,1,1
Wed Jul 28 12:48:18 2021,3,2,1
Wed Jul 28 12:48:18 2021,2,1,1
Wed Jul 28 12:48:18 2021,2,1,1
Wed Jul 28 12:48:18 2021,3,2,1
Wed Jul 28 12:48:18 2021,2,1,1
Wed Jul 28 12:48:18 2021,3,2,1
Wed Jul 28 12:48:18 2021,2,1,1
Wed Jul 28 12:48:18 2021,2,1,1
Wed Jul 28 12:48:18 2021,1,0,1
Wed Jul 28 12:48:18 2021,1,0,1
Wed Jul 28 12:48:18 2021,1,0,1
Wed Jul 28 12:48:18 2021,0,0,0
Wed Jul 28 12:48:18 2021,1,1,0
Wed Jul 28 12:48:19 2021,1,1,0
Wed Jul 28 12:48:19 2021,1,1,0
Wed Jul 28 12:48:19 2021,1,1,0
Wed Jul 28 12:48:19 2021,1,1,0
Wed Jul 28 12:48:19 2021,1,1,0
Wed Jul 28 12:48:19 2021,1,1,0
Wed Jul 28 12:48:19 2021,1,1,0
Wed Jul 28 12:48:19 2021,2,1,1
Wed Jul 28 12:48:19 2021,2,1,1
Wed Jul 28 12:48:19 2021,1,0,1
Wed Jul 28 12:48:19 2021,1,0,1
Wed Jul 28 12:48:19 2021,1,0,1
Wed Jul 28 12:48:19 2021,1,0,1
Wed Jul 28 12:48:19 2021,2,1,1
Wed Jul 28 12:48:19 2021,1,0,1
Wed Jul 28 12:48:19 2021,2,1,1
Wed Jul 28 12:48:19 2021,2,1,1
Wed Jul 28 12:48:19 2021,2,1,1
Wed Jul 28 12:48:19 2021,1,0,1
Wed Jul 28 12:48:19 2021,1,0,1
Wed Jul 28 12:48:20 2021,2,1,1
Wed Jul 28 12:48:20 2021,2,1,1
Wed Jul 28 12:48:20 2021,2,1,1
Wed Jul 28 12:48:20 2021,2,1,1
Wed Jul 28 12:48:20 2021,2,1,1
Wed Jul 28 12:48:20 2021,1,1,0
Wed Jul 28 12:48:20 2021,1,1,0
Wed Jul 28 12:48:20 2021,1,1,0
Wed Jul 28 12:48:20 2021,1,1,0
Wed Jul 28 12:48:20 2021,0,0,0
Wed Jul 28 12:48:20 2021,0,0,0
Wed Jul 28 12:48:20 2021,0,0,0
Wed Jul 28 12:48:20 2021,0,0,0
Wed Jul 28 12:48:20 2021,0,0,0
Wed Jul 28 12:48:20 2021,0,0,0
Wed Jul 28 12:48:20 2021,0,0,0
Wed Jul 28 12:48:20 2021,0,0,0
Wed Jul 28 12:48:20 2021,0,0,0
Wed Jul 28 12:48:20 2021,0,0,0
Wed Jul 28 12:48:20 2021,0,0,0
Wed Jul 28 12:48:21 2021,0,0,0
Wed Jul 28 12:48:21 2021,0,0,0
Wed Jul 28 12:48:21 2021,0,0,0
Wed Jul 28 12:48:21 2021,0,0,0
Wed Jul 28 12:48:21 2021,0,0,0
Wed Jul 28 12:48:21 2021,0,0,0
Wed Jul 28 12:48:21 2021,0,0,0
Wed Jul 28 12:48:21 2021,0,0,0
Wed Jul 28 12:48:21 2021,0,0,0
Wed Jul 28 12:48:21 2021,0,0,0
Wed Jul 28 12:48:21 2021,0,0,0
Wed Jul 28 12:48:21 2021,1,1,0
Wed Jul 28 12:48:21 2021,1,1,0
Wed Jul 28 12:48:21 2021,0,0,0
Wed Jul 28 12:48:21 2021,0,0,0
Wed Jul 28 12:48:21 2021,1,1,0
Wed Jul 28 12:48:21 2021,0,0,0
Wed Jul 28 12:48:21 2021,1,1,0
Wed Jul 28 12:48:21 2021,2,2,0
Wed Jul 28 12:48:21 2021,2,2,0
Wed Jul 28 12:48:22 2021,2,2,0
Wed Jul 28 12:48:22 2021,1,1,0
Wed Jul 28 12:48:22 2021,3,3,0
Wed Jul 28 12:48:22 2021,2,2,0
Wed Jul 28 12:48:22 2021,1,1,0
Wed Jul 28 12:48:22 2021,1,1,0
Wed Jul 28 12:48:22 2021,2,2,0
Wed Jul 28 12:48:22 2021,1,1,0
Wed Jul 28 12:48:22 2021,1,1,0
Wed Jul 28 12:48:22 2021,1,1,0
Wed Jul 28 12:48:22 2021,0,0,0
Wed Jul 28 12:48:22 2021,2,2,0
Wed Jul 28 12:48:22 2021,2,2,0
Wed Jul 28 12:48:22 2021,3,2,1
Wed Jul 28 12:48:22 2021,3,2,1
Wed Jul 28 12:48:22 2021,2,1,1
Wed Jul 28 12:48:22 2021,2,1,1
Wed Jul 28 12:48:22 2021,4,3,1
Wed Jul 28 12:48:22 2021,4,3,1
Wed Jul 28 12:48:22 2021,2,1,1
Wed Jul 28 12:48:23 2021,2,1,1
Wed Jul 28 12:48:23 2021,3,2,1
Wed Jul 28 12:48:23 2021,3,2,1
Wed Jul 28 12:48:23 2021,1,0,1
Wed Jul 28 12:48:23 2021,2,1,1
Wed Jul 28 12:48:23 2021,2,1,1
Wed Jul 28 12:48:23 2021,1,0,1
Wed Jul 28 12:48:23 2021,1,0,1
Wed Jul 28 12:48:23 2021,1,0,1
Wed Jul 28 12:48:23 2021,1,0,1
Wed Jul 28 12:48:23 2021,0,0,0
Wed Jul 28 12:48:23 2021,1,1,0
Wed Jul 28 12:48:23 2021,1,1,0
Wed Jul 28 12:48:23 2021,1,1,0
Wed Jul 28 12:48:23 2021,1,1,0
Wed Jul 28 12:48:23 2021,1,1,0
Wed Jul 28 12:48:23 2021,1,1,0
Wed Jul 28 12:48:23 2021,1,1,0
Wed Jul 28 12:48:23 2021,1,1,0
Wed Jul 28 12:48:23 2021,1,1,0
Wed Jul 28 12:48:23 2021,1,1,0
Wed Jul 28 12:48:24 2021,0,0,0
Wed Jul 28 12:48:24 2021,0,0,0
Wed Jul 28 12:48:24 2021,1,1,0
Wed Jul 28 12:48:24 2021,0,0,0
Wed Jul 28 12:48:24 2021,0,0,0
Wed Jul 28 12:48:24 2021,0,0,0
Wed Jul 28 12:48:24 2021,0,0,0
Wed Jul 28 12:48:24 2021,0,0,0
Wed Jul 28 12:48:24 2021,1,1,0
Wed Jul 28 12:48:24 2021,1,1,0
Wed Jul 28 12:48:24 2021,1,1,0
Wed Jul 28 12:48:24 2021,1,1,0
Wed Jul 28 12:48:24 2021,1,1,0
Wed Jul 28 12:48:24 2021,1,1,0
Wed Jul 28 12:48:24 2021,0,0,0
Wed Jul 28 12:48:24 2021,1,1,0
Wed Jul 28 12:48:24 2021,1,1,0
Wed Jul 28 12:48:24 2021,0,0,0
Wed Jul 28 12:48:24 2021,0,0,0
Wed Jul 28 12:48:24 2021,0,0,0
Wed Jul 28 12:48:25 2021,0,0,0
Wed Jul 28 12:48:25 2021,0,0,0
Wed Jul 28 12:48:25 2021,0,0,0
Wed Jul 28 12:48:25 2021,0,0,0
Wed Jul 28 12:48:25 2021,0,0,0
Wed Jul 28 12:48:25 2021,1,0,1
Wed Jul 28 12:48:25 2021,0,0,0
Wed Jul 28 12:48:25 2021,1,0,1
Wed Jul 28 12:48:25 2021,1,0,1
Wed Jul 28 12:48:25 2021,1,0,1
Wed Jul 28 12:48:25 2021,1,0,1
Wed Jul 28 12:48:25 2021,1,0,1
Wed Jul 28 12:48:25 2021,1,0,1
Wed Jul 28 12:48:25 2021,1,0,1
Wed Jul 28 12:48:25 2021,1,0,1
Wed Jul 28 12:48:25 2021,1,0,1
Wed Jul 28 12:48:25 2021,1,0,1
Wed Jul 28 12:48:25 2021,1,0,1
Wed Jul 28 12:48:25 2021,1,0,1
Wed Jul 28 12:48:25 2021,1,0,1
Wed Jul 28 12:48:26 2021,1,0,1
Wed Jul 28 12:48:26 2021,1,0,1
Wed Jul 28 12:48:26 2021,1,0,1
Wed Jul 28 12:48:26 2021,2,1,1
Wed Jul 28 12:48:26 2021,3,1,2
Wed Jul 28 12:48:26 2021,3,1,2
Wed Jul 28 12:48:26 2021,3,1,2
Wed Jul 28 12:48:26 2021,1,0,1
Wed Jul 28 12:48:26 2021,1,0,1
Wed Jul 28 12:48:26 2021,1,0,1
Wed Jul 28 12:48:26 2021,1,0,1
Wed Jul 28 12:48:26 2021,1,0,1
Wed Jul 28 12:48:26 2021,1,0,1
Wed Jul 28 12:48:26 2021,1,0,1
Wed Jul 28 12:48:26 2021,1,0,1
Wed Jul 28 12:48:26 2021,1,0,1
Wed Jul 28 12:48:26 2021,1,0,1
Wed Jul 28 12:48:26 2021,1,0,1
Wed Jul 28 12:48:26 2021,2,1,1
Wed Jul 28 12:48:26 2021,2,1,1
Wed Jul 28 12:48:27 2021,1,1,0
Wed Jul 28 12:48:27 2021,1,1,0
Wed Jul 28 12:48:27 2021,1,1,0
Wed Jul 28 12:48:27 2021,2,1,1
Wed Jul 28 12:48:27 2021,1,0,1
Wed Jul 28 12:48:27 2021,1,0,1
Wed Jul 28 12:48:27 2021,2,1,1
Wed Jul 28 12:48:27 2021,2,1,1
Wed Jul 28 12:48:27 2021,2,1,1
Wed Jul 28 12:48:27 2021,1,0,1
Wed Jul 28 12:48:27 2021,3,2,1
Wed Jul 28 12:48:27 2021,2,2,0
Wed Jul 28 12:48:27 2021,2,2,0
Wed Jul 28 12:48:27 2021,1,1,0
Wed Jul 28 12:48:27 2021,1,1,0
Wed Jul 28 12:48:27 2021,1,1,0
Wed Jul 28 12:48:27 2021,1,1,0
Wed Jul 28 12:48:27 2021,2,2,0
Wed Jul 28 12:48:27 2021,2,2,0
Wed Jul 28 12:48:27 2021,2,2,0
Wed Jul 28 12:48:28 2021,2,2,0
Wed Jul 28 12:48:28 2021,2,2,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:28 2021,0,0,0
Wed Jul 28 12:48:29 2021,1,1,0
Wed Jul 28 12:48:29 2021,1,1,0
Wed Jul 28 12:48:29 2021,2,2,0
Wed Jul 28 12:48:29 2021,2,2,0
Wed Jul 28 12:48:29 2021,1,1,0
Wed Jul 28 12:48:29 2021,0,0,0
Wed Jul 28 12:48:29 2021,1,1,0
Wed Jul 28 12:48:29 2021,2,2,0
Wed Jul 28 12:48:29 2021,4,4,0
Wed Jul 28 12:48:29 2021,3,3,0
Wed Jul 28 12:48:29 2021,2,2,0
Wed Jul 28 12:48:29 2021,2,2,0
Wed Jul 28 12:48:29 2021,2,2,0
Wed Jul 28 12:48:29 2021,2,2,0
Wed Jul 28 12:48:29 2021,1,1,0
Wed Jul 28 12:48:29 2021,0,0,0
Wed Jul 28 12:48:29 2021,0,0,0
Wed Jul 28 12:48:29 2021,0,0,0
Wed Jul 28 12:48:29 2021,2,2,0
Wed Jul 28 12:48:29 2021,2,2,0
Wed Jul 28 12:48:30 2021,2,2,0
Wed Jul 28 12:48:30 2021,3,3,0
Wed Jul 28 12:48:30 2021,1,1,0
Wed Jul 28 12:48:30 2021,2,2,0
Wed Jul 28 12:48:30 2021,1,1,0
Wed Jul 28 12:48:30 2021,2,2,0
Wed Jul 28 12:48:30 2021,1,1,0
Wed Jul 28 12:48:30 2021,2,2,0
Wed Jul 28 12:48:30 2021,3,2,1
Wed Jul 28 12:48:30 2021,2,1,1
Wed Jul 28 12:48:30 2021,2,2,0
Wed Jul 28 12:48:30 2021,1,1,0
Wed Jul 28 12:48:30 2021,0,0,0
Wed Jul 28 12:48:30 2021,1,0,1
Wed Jul 28 12:48:30 2021,1,1,0
Wed Jul 28 12:48:30 2021,1,1,0
Wed Jul 28 12:48:30 2021,0,0,0
Wed Jul 28 12:48:30 2021,1,1,0
Wed Jul 28 12:48:30 2021,1,1,0
Wed Jul 28 12:48:30 2021,1,1,0
Wed Jul 28 12:48:31 2021,2,1,1
Wed Jul 28 12:48:31 2021,2,1,1
Wed Jul 28 12:48:31 2021,2,0,2
Wed Jul 28 12:48:31 2021,2,0,2
Wed Jul 28 12:48:31 2021,3,1,2
Wed Jul 28 12:48:31 2021,3,1,2
Wed Jul 28 12:48:31 2021,2,0,2
Wed Jul 28 12:48:31 2021,2,0,2
Wed Jul 28 12:48:31 2021,2,0,2
Wed Jul 28 12:48:31 2021,3,1,2
Wed Jul 28 12:48:31 2021,3,1,2
Wed Jul 28 12:48:31 2021,3,1,2
Wed Jul 28 12:48:31 2021,4,2,2
Wed Jul 28 12:48:31 2021,4,2,2
Wed Jul 28 12:48:31 2021,3,1,2
Wed Jul 28 12:48:31 2021,2,0,2
Wed Jul 28 12:48:31 2021,2,0,2
Wed Jul 28 12:48:31 2021,2,0,2
Wed Jul 28 12:48:31 2021,2,0,2
Wed Jul 28 12:48:31 2021,2,0,2
Wed Jul 28 12:48:32 2021,2,0,2
Wed Jul 28 12:48:32 2021,2,0,2
Wed Jul 28 12:48:32 2021,1,0,1
Wed Jul 28 12:48:32 2021,2,1,1
Wed Jul 28 12:48:32 2021,2,1,1
Wed Jul 28 12:48:32 2021,1,1,0
Wed Jul 28 12:48:32 2021,1,1,0
Wed Jul 28 12:48:32 2021,0,0,0
Wed Jul 28 12:48:32 2021,1,1,0
Wed Jul 28 12:48:32 2021,1,1,0
Wed Jul 28 12:48:32 2021,1,1,0
Wed Jul 28 12:48:32 2021,1,1,0
Wed Jul 28 12:48:32 2021,2,2,0
Wed Jul 28 12:48:32 2021,2,2,0
Wed Jul 28 12:48:32 2021,2,2,0
Wed Jul 28 12:48:32 2021,2,2,0
Wed Jul 28 12:48:32 2021,0,0,0
Wed Jul 28 12:48:32 2021,0,0,0
Wed Jul 28 12:48:32 2021,2,2,0
Wed Jul 28 12:48:32 2021,2,2,0
Wed Jul 28 12:48:33 2021,2,2,0
Wed Jul 28 12:48:33 2021,3,2,1
Wed Jul 28 12:48:33 2021,2,1,1
Wed Jul 28 12:48:33 2021,2,1,1
Wed Jul 28 12:48:33 2021,2,1,1
Wed Jul 28 12:48:33 2021,2,1,1
Wed Jul 28 12:48:33 2021,4,2,2
